step,split,loss
19300,train,1.1678
19350,train,1.1689
19400,train,1.1936
19450,train,1.1614
19500,train,1.1249
19550,train,1.1533
19600,train,1.1606
19650,train,1.1581
19700,train,1.1786
19750,train,1.1536
19800,train,1.1425
19850,train,1.1678
19900,train,1.178
19950,train,1.158
20000,train,1.1376
20050,train,1.1772
20100,train,1.1778
20150,train,1.1636
20200,train,1.1282
20250,train,1.1688
20300,train,1.1487
20350,train,1.1399
20400,train,1.1582
20450,train,1.1399
20500,train,1.154
20550,train,1.1347
20600,train,1.1329
20650,train,1.1408
20700,train,1.1524
20750,train,1.1294
20800,train,1.1598
20850,train,1.1053
20900,train,1.1242
20950,train,1.125
21000,train,1.131
21050,train,1.1225
21100,train,1.1423
21150,train,1.1444
21200,train,1.158
21250,train,1.1109
21300,train,1.1365
21350,train,1.1392
21400,train,1.1257
21450,train,1.1275
21500,train,1.1371
21550,train,1.1413
21600,train,1.1545
21650,train,1.1261
21700,train,1.1203
21750,train,1.1473
21800,train,1.1507
21850,train,1.1288
21900,train,1.1231
21950,train,1.1023
22000,train,1.1276
22050,train,1.1637
22100,train,1.1114
22150,train,1.1503
22200,train,1.1541
22250,train,1.1467
22300,train,1.1512
22350,train,1.126
22400,train,1.1419
22450,train,1.1076
22500,train,1.1444
22550,train,1.1236
22600,train,1.1358
22650,train,1.1492
22700,train,1.141
22750,train,1.1396
22800,train,1.1359
22850,train,1.1274
22900,train,1.1487
22950,train,1.1487
23000,train,1.1249
23050,train,1.1267
23100,train,1.1429
23150,train,1.1318
23200,train,1.1226
23250,train,1.1157
23300,train,1.1326
23350,train,1.1632
23400,train,1.1308
23450,train,1.1432
23500,train,1.0396
23550,train,1.0891
23600,train,1.0665
23650,train,1.0511
23700,train,1.0947
23750,train,1.0924
23800,train,1.0616
23850,train,1.0827
23900,train,1.0757
23950,train,1.0832
24000,train,1.0591
24050,train,1.0727
24100,train,1.0908
24150,train,1.0537
24200,train,1.0459
24250,train,1.0834
24300,train,1.0661
24350,train,1.0987
24400,train,1.0731
24450,train,1.0622
24500,train,1.0643
24550,train,1.0699
24600,train,1.0551
24650,train,1.0687
24700,train,1.076
24750,train,1.059
24800,train,1.0662
24850,train,1.045
24900,train,1.054
24950,train,1.0618
25000,train,1.0798
25050,train,1.0598
25100,train,1.0887
25150,train,1.0696
25200,train,1.0828
25250,train,1.0826
25300,train,1.0708
25350,train,1.0731
25400,train,1.061
25450,train,1.062
25500,train,1.0556
25550,train,1.0551
25600,train,1.0514
25650,train,1.0855
25700,train,1.0617
25750,train,1.0813
25800,train,1.0754
25850,train,1.0622
25900,train,1.0397
25950,train,1.0722
26000,train,1.0696
26050,train,1.0285
26100,train,1.0497
26150,train,1.0734
26200,train,1.0536
26250,train,1.0617
26300,train,1.0816
26350,train,1.075
26400,train,1.0448
26450,train,1.0715
26500,train,1.064
26550,train,1.0575
26600,train,1.0815
26650,train,1.0677
26700,train,1.0525
26750,train,1.0807
26800,train,1.0429
26850,train,1.0563
26900,train,1.0517
26950,train,1.0548
27000,train,1.054
27050,train,1.0597
27100,train,1.0415
27150,train,1.0419
27200,train,1.0554
27250,train,1.0564
27300,train,1.0743
27350,train,1.0788
27400,train,1.0684
27450,train,1.0435
27500,train,1.0364
27550,train,1.0533
27600,train,1.0602
27650,train,1.0089
27700,train,1.05
27750,train,1.0277
27800,train,1.0415
27850,train,1.0792
27900,train,1.0432
27950,train,1.0427
28000,train,1.0888
28050,train,1.0548
28100,train,1.0527
28150,train,1.0324
28200,train,1.0292
28250,train,1.0782
28300,train,1.0264
28350,train,1.0347
28400,train,1.0048
28450,train,1.0577
28500,train,1.0397
28550,train,1.0739
28600,train,1.0842
28650,train,1.0757
28700,train,1.0531
28750,train,1.0168
28800,train,1.0587
28850,train,1.0149
28900,train,1.0665
28950,train,1.0743
29000,train,1.0271
29050,train,1.0405
29100,train,1.0587
29150,train,1.0316
29200,train,1.0435
29250,train,1.0519
29300,train,1.0365
29350,train,1.0359
29400,train,1.0752
29450,train,1.0349
29500,train,1.0723
29550,train,1.0429
29600,train,1.0565
29650,train,1.0572
29700,train,1.0419
29750,train,1.0379
29800,train,1.0524
29850,train,1.0356
29900,train,1.073
29950,train,1.0298
30000,train,1.0552
30050,train,1.021
30100,train,1.0411
30150,train,1.0454
30200,train,1.0338
30250,train,1.0505
30300,train,1.0232
30350,train,1.0503
30400,train,1.0346
30450,train,1.032
30500,train,1.0361
30550,train,1.0522
30600,train,1.0483
30650,train,1.0404
30700,train,1.0272
30750,train,1.0068
30800,train,1.0601
30850,train,1.0422
30900,train,1.0074
30950,train,1.0204
31000,train,1.0485
31050,train,1.0343
31100,train,1.0254
31150,train,1.0544
31200,train,1.0417
31250,train,1.021
31300,train,1.054
31350,train,1.0458
31400,train,1.023
31450,train,1.0371
31500,train,1.0234
31550,train,1.0309
31600,train,1.0576
31650,train,1.0067
31700,train,1.0288
31750,train,1.0286
31800,train,1.0407
31850,train,1.0151
31900,train,1.0541
31950,train,1.0246
32000,train,1.0413
32050,train,1.0481
32100,train,1.0664
32150,train,1.0415
32200,train,1.0389
32250,train,1.0388
32300,train,1.0197
32350,train,1.0597
32400,train,1.0073
32450,train,1.0521
32500,train,1.0363
32550,train,1.025
32600,train,1.045
32650,train,1.0095
32700,train,1.0497
32750,train,0.9881
32800,train,1.0567
32850,train,1.0243
32900,train,1.0021
32950,train,1.0137
33000,train,1.0289
33050,train,1.0378
33100,train,1.0154
33150,train,1.0397
33200,train,1.0401
33250,train,1.0255
33300,train,1.0289
33350,train,1.0342
33400,train,1.0141
33450,train,1.0138
33500,train,1.0037
33550,train,1.0229
33600,train,1.0474
33650,train,1.0042
33700,train,1.0329
33750,train,1.0151
33800,train,1.0387
33850,train,1.0296
33900,train,1.0172
33950,train,1.0052
34000,train,0.9974
34050,train,1.0355
34100,train,1.0409
34150,train,1.0161
34200,train,1.0393
34250,train,1.0524
34300,train,1.0671
34350,train,1.0257
34400,train,1.0325
34450,train,1.0509
34500,train,1.0383
34550,train,1.0065
34600,train,1.0368
34650,train,1.0367
34700,train,0.9988
34750,train,1.0102
34800,train,1.03
34850,train,1.0049
34900,train,0.9991
34950,train,1.044
35000,train,1.0172
35050,train,1.0033
35100,train,1.039
35150,train,1.008
35200,train,1.0471
35250,train,1.0171
35300,train,1.0146
35350,train,1.0282
35400,train,1.0006
35450,train,1.0267
35500,train,1.044
35550,train,1.0193
35600,train,1.0532
35650,train,1.0226
35700,train,1.0254
35750,train,1.0138
35800,train,1.008
35850,train,1.0088
35900,train,1.0034
35950,train,1.0059
36000,train,1.0371
36050,train,1.0477
36100,train,1.0332
36150,train,1.0039
36200,train,1.0047
36250,train,1.015
36300,train,1.0021
36350,train,1.0136
36400,train,1.0197
36450,train,1.0169
36500,train,0.9895
36550,train,1.0338
36600,train,1.0206
36650,train,1.0471
36700,train,1.0182
36750,train,0.9798
36800,train,1.0223
36850,train,1.0184
36900,train,0.9973
36950,train,0.9991
37000,train,0.9993
37050,train,0.9981
37100,train,1.0058
37150,train,1.033
37200,train,1.0238
37250,train,1.0075
37300,train,1.0063
37350,train,0.9973
37400,train,0.9858
37450,train,0.9935
37500,train,1.0095
37550,train,0.9954
37600,train,0.9878
37650,train,0.9933
37700,train,0.9981
37750,train,1.0127
37800,train,0.9958
37850,train,0.9996
37900,train,1.0087
37950,train,1.0331
38000,train,1.0029
38050,train,1.0308
38100,train,1.0209
38150,train,1.0049
38200,train,1.0241
38250,train,0.9812
38300,train,1.0245
38350,train,1.0002
38400,train,0.993
38450,train,1.0255
38500,train,0.9965
38550,train,0.9916
38600,train,1.0526
38650,train,1.0077
38700,train,0.9975
38750,train,0.9948
38800,train,1.0039
38850,train,0.9778
38900,train,0.9569
38950,train,1.0176
39000,train,1.0292
39050,train,0.9995
39100,train,0.9926
39150,train,0.9948
39200,train,0.9584
39250,train,1.0153
39300,train,0.974
39350,train,0.9967
39400,train,1.0293
39450,train,0.9694
39500,train,1.007
39550,train,1.0
39600,train,1.025
39650,train,1.011
39700,train,1.0032
39750,train,1.0417
39800,train,0.9922
39850,train,1.0158
39900,train,0.9971
39950,train,1.0299
40000,train,1.0036
40050,train,1.0278
40100,train,1.0074
40150,train,0.9949
40200,train,1.0034
40250,train,0.9984
40300,train,1.0172
40350,train,0.9972
40400,train,1.0232
40450,train,1.0137
40500,train,1.017
40550,train,0.9771
40600,train,1.0353
40650,train,0.9786
40700,train,0.989
40750,train,1.0027
40800,train,1.0004
40850,train,0.9823
40900,train,0.992
40950,train,0.9951
41000,train,1.0194
41050,train,1.0067
41100,train,0.9829
41150,train,0.9982
41200,train,1.0145
41250,train,1.0035
41300,train,0.9884
41350,train,0.9932
41400,train,0.9699
41450,train,1.0147
41500,train,0.9978
41550,train,0.9811
41600,train,1.009
41650,train,1.0013
41700,train,1.0005
41750,train,0.9958
41800,train,0.9944
41850,train,0.9826
41900,train,0.9803
41950,train,1.0025
42000,train,0.9964
42050,train,1.0036
42100,train,1.0296
42150,train,0.9984
42200,train,1.0338
42250,train,1.0043
42300,train,1.0073
42350,train,0.9991
42400,train,1.0046
42450,train,1.0015
42500,train,0.9864
42550,train,1.0054
42600,train,1.0212
42650,train,1.0054
42700,train,0.9669
42750,train,0.9902
42800,train,0.989
42850,train,0.9911
42900,train,1.0026
42950,train,1.011
43000,train,0.9911
43050,train,1.0041
43100,train,1.0124
43150,train,0.9944
43200,train,1.0034
43250,train,0.9787
43300,train,0.9691
43350,train,1.0112
43400,train,1.0115
43450,train,1.0105
43500,train,0.9748
43550,train,0.9854
43600,train,0.9941
43650,train,1.0058
43700,train,0.993
43750,train,1.002
43800,train,1.0039
43850,train,1.0066
43900,train,0.9869
43950,train,0.9815
44000,train,0.9953
44050,train,1.0223
44100,train,0.988
44150,train,1.0035
44200,train,0.9817
44250,train,0.9984
44300,train,0.9728
44350,train,0.9865
44400,train,0.9791
44450,train,0.9838
44500,train,0.974
44550,train,0.9801
44600,train,0.996
44650,train,0.9598
44700,train,0.9853
44750,train,0.9855
44800,train,1.0204
44850,train,0.9925
44900,train,0.9831
44950,train,0.9932
45000,train,0.9992
45050,train,0.999
45100,train,0.9778
45150,train,0.994
45200,train,1.0038
45250,train,1.0267
45300,train,1.0151
45350,train,0.9692
45400,train,0.9813
45450,train,1.004
45500,train,0.9812
45550,train,0.9949
45600,train,1.0231
45650,train,0.9745
45700,train,0.9595
45750,train,1.0017
45800,train,1.0151
45850,train,1.0052
45900,train,0.984
45950,train,1.0049
46000,train,1.0092
46050,train,0.9538
46100,train,0.985
46150,train,1.0017
46200,train,0.9994
46250,train,0.986
46300,train,0.978
46350,train,1.0101
46400,train,0.9914
46450,train,0.9639
46500,train,0.9674
46550,train,1.0148
46600,train,0.9695
46650,train,0.9715
46700,train,1.0127
46750,train,0.9719
46800,train,0.9551
46850,train,0.9895
2000,eval,1.7535879611968994
4000,eval,1.5187311172485352
6000,eval,1.406002402305603
8000,eval,1.3276563882827759
10000,eval,1.279085397720337
12000,eval,1.2379404306411743
14000,eval,1.2023295164108276
16000,eval,1.1782442331314087
18000,eval,1.1511484384536743
20000,eval,1.1362906694412231
22000,eval,1.1192636489868164
24000,eval,1.101219892501831
26000,eval,1.0899935960769653
28000,eval,1.076465129852295
30000,eval,1.0681804418563843
32000,eval,1.0532314777374268
34000,eval,1.0481257438659668
36000,eval,1.036201000213623
38000,eval,1.0285619497299194
40000,eval,1.0201033353805542
42000,eval,1.0139349699020386
44000,eval,1.0085419416427612
46000,eval,1.0051813125610352
